City Name,Population
Albuquerque,559121
Anaheim,350742
Arlington,388125
Atlanta,463878
Aurora,359407
Austin,931830
Bakersfield,373640
Baltimore,621849
Boston,667137
Brooklyn,2300664
Charlotte,827097
Chicago,2720546
Cleveland,388072
Colorado Springs,456568
Columbus,850106
Corpus Christi,324074
Dallas,1300092
Denver,682545
Detroit,677116
El Paso,681124
Fort Worth,833319
Fresno,520052
Honolulu,371657
Houston,2296224
Indianapolis,829718
Jacksonville,868031
Kansas City,475378
Las Vegas,623747
Lexington-Fayette,314488
Long Beach,474140
Los Angeles,3971883
Manhattan,1487536
Memphis,655770
Mesa,471825
Miami,441003
Milwaukee,600155
Minneapolis,410939
Nashville,530852
New Orleans,389617
New South Memphis,641608
New York City,8175133
Oakland,419267
Oklahoma City,631346
Omaha,443885
Philadelphia,1567442
Phoenix,1563025
Pittsburgh,304391
Portland,632309
Queens,2272771
Raleigh,451066
Riverside,322424
Sacramento,490712
San Antonio,1469845
San Diego,1394928
San Francisco,864816
San Jose,1026908
Santa Ana,335400
Seattle,684451
South Boston,571281
St. Louis,315685
Staten Island,468730
Stockton,305658
Tampa,369075
The Bronx,1385108
Tucson,531641
Tulsa,403505
Virginia Beach,452745
"Washington, D.C.",601723
West Raleigh,338759
Wichita,389965
